
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> All warnings have the state 'off'.
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> SqEnKF RMSE for r=5.4, alpha=0.08 is 0.662557
Average RMSE for r=2.75, alpha=0.27: 2.46415, time = 1.15294
Average RMSE for r=2.75, alpha=0.29: 2.26777, time = 1.26797
Average RMSE for r=2.75, alpha=0.31: 3.29313, time = 1.65835
Average RMSE for r=2.75, alpha=0.33: 4.16928, time = 1.42355
Average RMSE for r=2.75, alpha=0.35: 2.72631, time = 1.26884
Average RMSE for r=2.75, alpha=0.37: 2.34072, time = 1.28904
Average RMSE for r=2.75, alpha=0.39: 2.20134, time = 1.1593
Average RMSE for r=2.75, alpha=0.41: 3.37501, time = 1.40494
Average RMSE for r=2.75, alpha=0.43: 2.87458, time = 1.27588
Average RMSE for r=2.75, alpha=0.45: 3.17137, time = 1.43562
Average RMSE for r=2.75, alpha=0.47: 3.11601, time = 1.42836
Average RMSE for r=2.75, alpha=0.49: 2.08829, time = 1.33661
Average RMSE for r=2.75, alpha=0.51: 2.47266, time = 1.30445
Average RMSE for r=3, alpha=0.15: 2.0111, time = 1.29119
Average RMSE for r=3, alpha=0.17: 3.47174, time = 1.81959
Average RMSE for r=3, alpha=0.19: 4.53031, time = 1.26321
Average RMSE for r=3, alpha=0.21: 3.05146, time = 1.23328
Average RMSE for r=3, alpha=0.23: 3.28007, time = 1.23371
Average RMSE for r=3, alpha=0.25: 3.5937, time = 1.29244
Average RMSE for r=3, alpha=0.27: 2.51322, time = 1.13032
Average RMSE for r=3, alpha=0.29: 2.37597, time = 1.13068
Average RMSE for r=3, alpha=0.31: 3.52309, time = 1.24238
