
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Average RMSE for r=1, alpha=0: 2.81452, time = 2.22229
Average RMSE for r=1.4, alpha=0.35: 0.634895, time = 1.88074
Average RMSE for r=1.6, alpha=0: 3.17983, time = 1.88177
Average RMSE for r=1.6, alpha=0.01: 3.13771, time = 1.8838
Average RMSE for r=1.6, alpha=0.02: 1.62869, time = 1.8949
Average RMSE for r=1.6, alpha=0.03: 2.42474, time = 2.05701
Average RMSE for r=1.6, alpha=0.04: 1.44227, time = 1.908
Average RMSE for r=1.6, alpha=0.05: 1.89598, time = 1.88192
Average RMSE for r=1.6, alpha=0.06: 0.862852, time = 1.88806
Average RMSE for r=1.6, alpha=0.07: 0.899075, time = 1.89571
Average RMSE for r=1.6, alpha=0.08: 0.666662, time = 1.88793
Average RMSE for r=1.6, alpha=0.09: 0.60362, time = 1.87939
Average RMSE for r=1.6, alpha=0.1: 0.579451, time = 1.88669
Average RMSE for r=1.6, alpha=0.11: 0.576305, time = 1.88003
Average RMSE for r=1.6, alpha=0.12: 0.606382, time = 1.88276
Average RMSE for r=1.6, alpha=0.13: 0.583902, time = 1.88287
Average RMSE for r=1.6, alpha=0.14: 0.577303, time = 1.88692
Average RMSE for r=1.6, alpha=0.15: 0.604535, time = 1.884
Average RMSE for r=1.6, alpha=0.16: 0.594296, time = 1.88991
Average RMSE for r=1.6, alpha=0.17: 0.570878, time = 1.88711
Average RMSE for r=1.6, alpha=0.18: 0.577662, time = 1.93125
Average RMSE for r=1.6, alpha=0.19: 0.57917, time = 1.92396
Average RMSE for r=1.6, alpha=0.2: 0.570353, time = 1.91552
Average RMSE for r=1.6, alpha=0.21: 0.616516, time = 1.93154
Average RMSE for r=1.6, alpha=0.22: 0.572841, time = 1.92312
Average RMSE for r=1.6, alpha=0.23: 0.593974, time = 1.92045
Average RMSE for r=1.6, alpha=0.24: 0.595212, time = 1.9545
Average RMSE for r=1.6, alpha=0.25: 0.607952, time = 1.89517
Average RMSE for r=1.6, alpha=0.26: 0.586993, time = 1.88669
Average RMSE for r=1.6, alpha=0.27: 0.629809, time = 1.89092
Average RMSE for r=1.6, alpha=0.28: 0.600855, time = 1.88935
Average RMSE for r=1.6, alpha=0.29: 0.59056, time = 1.89544
Average RMSE for r=1.6, alpha=0.3: 0.606956, time = 1.89155
Average RMSE for r=1.6, alpha=0.31: 0.631491, time = 1.93259
Average RMSE for r=1.6, alpha=0.32: 0.638655, time = 1.88892
Average RMSE for r=1.6, alpha=0.33: 0.647511, time = 1.89728
Average RMSE for r=1.6, alpha=0.34: 0.711078, time = 2.04645
Average RMSE for r=1.6, alpha=0.35: 0.635641, time = 1.88319
Average RMSE for r=1.8, alpha=0: 2.83869, time = 1.88095
