
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> All warnings have the state 'off'.
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> SqEnKF RMSE for r=5.4, alpha=0.08 is 0.662557
Average RMSE for r=3.5, alpha=0.45: 2.21661, time = 51.0267
Average RMSE for r=3.5, alpha=0.47: 2.06841, time = 53.4781
Average RMSE for r=3.5, alpha=0.49: 2.16336, time = 50.65
Average RMSE for r=3.5, alpha=0.51: 1.85535, time = 55.8497
Average RMSE for r=4, alpha=0.15: 2.81684, time = 45.9737
Average RMSE for r=4, alpha=0.17: 4.07625, time = 49.6884
Average RMSE for r=4, alpha=0.19: 2.65836, time = 48.4187
Average RMSE for r=4, alpha=0.21: 3.28307, time = 50.3444
Average RMSE for r=4, alpha=0.23: 2.81079, time = 45.6825
Average RMSE for r=4, alpha=0.25: 3.44722, time = 48.2993
Average RMSE for r=4, alpha=0.27: 3.37821, time = 52.3974
Average RMSE for r=4, alpha=0.29: 3.34329, time = 61.4189
Average RMSE for r=4, alpha=0.31: 2.78002, time = 52.7639
Average RMSE for r=4, alpha=0.33: 2.68717, time = 53.8542
Average RMSE for r=4, alpha=0.35: 2.24723, time = 50.7058
Average RMSE for r=4, alpha=0.37: 2.03218, time = 51.1868
Average RMSE for r=4, alpha=0.39: 3.37925, time = 48.2165
Average RMSE for r=4, alpha=0.41: 2.69058, time = 53.0619
Average RMSE for r=4, alpha=0.43: 2.24307, time = 53.6581
Average RMSE for r=4, alpha=0.45: 2.58767, time = 52.9781
Average RMSE for r=4, alpha=0.47: 2.24403, time = 51.4668
Average RMSE for r=4, alpha=0.49: 1.60145, time = 53.2117
Average RMSE for r=4, alpha=0.51: 1.77649, time = 57.3621
Average RMSE for r=4.5, alpha=0.15: 3.68053, time = 52.6471
Average RMSE for r=4.5, alpha=0.17: 3.59236, time = 47.6856
Average RMSE for r=4.5, alpha=0.19: 3.00354, time = 56.8889
Average RMSE for r=4.5, alpha=0.21: 2.97599, time = 48.5019
Average RMSE for r=4.5, alpha=0.23: 3.27223, time = 52.221
Average RMSE for r=4.5, alpha=0.25: 4.61023, time = 60.7229
Average RMSE for r=4.5, alpha=0.27: 2.26304, time = 50.2765
